"Name (unknown)","gm (S)","id (A)","vgs (V)","vth (V)"
"M0",1.593E-3,104.3E-6,756.4E-3,697.3E-3
"M4",1.107E-3,-104.3E-6,-594.1E-3,-447.0E-3
"M5",1.107E-3,-104.3E-6,-594.1E-3,-447.0E-3
"M6",1.593E-3,-104.1E-6,756.4E-3,697.3E-3
"M8",1.574E-3,125.3E-6,536.4E-3,507.4E-3
"M9",3.260E-3,208.2E-6,536.4E-3,486.1E-3
"M14",3.145E-3,-199.0E-6,536.4E-3,486.3E-3
"M15",3.145E-3,-199.0E-6,536.4E-3,486.3E-3
"M17",1.954E-3,-152.4E-6,-594.1E-3,-509.3E-3
"M28",389.5E-6,-199.0E-6,-1.323,-438.2E-3
"M29",389.5E-6,-199.0E-6,-1.323,-438.2E-3
"M30",354.3E-6,-199.0E-6,-1.740,-777.5E-3
"M31",354.3E-6,-199.0E-6,-1.740,-777.5E-3
"M32",1.954E-3,-152.4E-6,-594.1E-3,-509.3E-3
"M33",1.954E-3,-152.4E-6,-594.1E-3,-509.3E-3
